14:46:56 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=/home/orion51/Desktop/Research/spectral_fitting/FGL_spectral_fitting/Individual_sources/2CXOJ150234.5+015205/powerlaw_out_, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:46:56 [ultranest] [INFO] Sampling 400 live points from prior ...
14:46:58 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
14:46:58 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:46:58 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:46:58 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1184689762486.31, Lmax=-461.40
14:46:58 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-9633386398.09, remainder_fraction=100.0000%, Lmin=-8420592792.38, Lmax=-461.40
14:46:58 [ultranest] [DEBUG] iteration=26, ncalls=428, regioncalls=1120, ndraw=40, logz=-2928367555.39, remainder_fraction=100.0000%, Lmin=-2896281744.91, Lmax=-461.40
14:46:58 [ultranest] [DEBUG] iteration=37, ncalls=442, regioncalls=1680, ndraw=40, logz=-1094596211.13, remainder_fraction=100.0000%, Lmin=-1029411012.71, Lmax=-461.40
14:46:58 [ultranest] [DEBUG] iteration=40, ncalls=445, regioncalls=1800, ndraw=40, logz=-902813395.11, remainder_fraction=100.0000%, Lmin=-827358618.96, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=54, ncalls=460, regioncalls=2400, ndraw=40, logz=-373474876.28, remainder_fraction=100.0000%, Lmin=-325674673.87, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=67, ncalls=474, regioncalls=2960, ndraw=40, logz=-184779174.83, remainder_fraction=100.0000%, Lmin=-157314312.71, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=80, ncalls=489, regioncalls=3560, ndraw=40, logz=-65178434.64, remainder_fraction=100.0000%, Lmin=-59850725.39, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=90, ncalls=499, regioncalls=3960, ndraw=40, logz=-32926984.66, remainder_fraction=100.0000%, Lmin=-29422669.62, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=100, ncalls=513, regioncalls=4520, ndraw=40, logz=-15741335.13, remainder_fraction=100.0000%, Lmin=-14971002.52, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=114, ncalls=527, regioncalls=5080, ndraw=40, logz=-4638740.79, remainder_fraction=100.0000%, Lmin=-4332683.72, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=120, ncalls=534, regioncalls=5360, ndraw=40, logz=-3317893.90, remainder_fraction=100.0000%, Lmin=-3285292.63, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=132, ncalls=549, regioncalls=5960, ndraw=40, logz=-1654834.86, remainder_fraction=100.0000%, Lmin=-1637087.09, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=146, ncalls=564, regioncalls=6560, ndraw=40, logz=-794425.65, remainder_fraction=100.0000%, Lmin=-791985.66, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=157, ncalls=579, regioncalls=7160, ndraw=40, logz=-450682.16, remainder_fraction=100.0000%, Lmin=-368680.62, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=160, ncalls=582, regioncalls=7280, ndraw=40, logz=-335242.15, remainder_fraction=100.0000%, Lmin=-333653.59, Lmax=-461.40
14:46:59 [ultranest] [DEBUG] iteration=172, ncalls=597, regioncalls=7880, ndraw=40, logz=-237089.22, remainder_fraction=100.0000%, Lmin=-221980.86, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=180, ncalls=609, regioncalls=8360, ndraw=40, logz=-192504.16, remainder_fraction=100.0000%, Lmin=-182725.17, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=191, ncalls=623, regioncalls=8920, ndraw=40, logz=-104192.89, remainder_fraction=100.0000%, Lmin=-99156.68, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=200, ncalls=633, regioncalls=9320, ndraw=40, logz=-61928.38, remainder_fraction=100.0000%, Lmin=-55056.36, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=213, ncalls=648, regioncalls=9920, ndraw=40, logz=-37405.27, remainder_fraction=100.0000%, Lmin=-37253.22, Lmax=-461.40
14:47:00 [ultranest] [DEBUG] iteration=224, ncalls=662, regioncalls=10480, ndraw=40, logz=-19826.73, remainder_fraction=100.0000%, Lmin=-19531.54, Lmax=-461.40
