10:06:17 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=True, log_dir=/home/orion51/Desktop/Research/spectral_fitting/FGL_spectral_fitting/Individual_sources/2CXOJ181920.3-203952/bb_out_, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:06:17 [ultranest] [INFO] Sampling 400 live points from prior ...
10:06:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=400
10:06:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:06:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
10:06:20 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-175577383.05, Lmax=-167.93
10:06:20 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-93449197.28, remainder_fraction=100.0000%, Lmin=-53247305.49, Lmax=-167.93
10:06:20 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-13459467.16, remainder_fraction=100.0000%, Lmin=-11079502.62, Lmax=-167.93
10:06:20 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-5116175.48, remainder_fraction=100.0000%, Lmin=-3729800.62, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=16, ncalls=418, regioncalls=720, ndraw=40, logz=-2475319.36, remainder_fraction=100.0000%, Lmin=-1747717.36, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=19, ncalls=422, regioncalls=880, ndraw=40, logz=-1368919.66, remainder_fraction=100.0000%, Lmin=-1366509.97, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=23, ncalls=426, regioncalls=1040, ndraw=40, logz=-835839.82, remainder_fraction=100.0000%, Lmin=-765196.70, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=27, ncalls=430, regioncalls=1200, ndraw=40, logz=-471875.17, remainder_fraction=100.0000%, Lmin=-469767.73, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=31, ncalls=434, regioncalls=1360, ndraw=40, logz=-295905.88, remainder_fraction=100.0000%, Lmin=-280473.45, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=35, ncalls=438, regioncalls=1520, ndraw=40, logz=-117590.42, remainder_fraction=100.0000%, Lmin=-98048.15, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=39, ncalls=442, regioncalls=1680, ndraw=40, logz=-79687.06, remainder_fraction=100.0000%, Lmin=-73433.05, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=40, ncalls=443, regioncalls=1720, ndraw=40, logz=-73439.14, remainder_fraction=100.0000%, Lmin=-71014.74, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=44, ncalls=447, regioncalls=1880, ndraw=40, logz=-50014.46, remainder_fraction=100.0000%, Lmin=-47476.83, Lmax=-167.93
10:06:21 [ultranest] [DEBUG] iteration=48, ncalls=451, regioncalls=2040, ndraw=40, logz=-31623.25, remainder_fraction=100.0000%, Lmin=-29358.48, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=52, ncalls=455, regioncalls=2200, ndraw=40, logz=-20811.71, remainder_fraction=100.0000%, Lmin=-14175.52, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=55, ncalls=458, regioncalls=2320, ndraw=40, logz=-12659.96, remainder_fraction=100.0000%, Lmin=-10961.13, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=58, ncalls=462, regioncalls=2480, ndraw=40, logz=-9550.37, remainder_fraction=100.0000%, Lmin=-8303.15, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=62, ncalls=466, regioncalls=2640, ndraw=40, logz=-5677.47, remainder_fraction=100.0000%, Lmin=-5596.65, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=65, ncalls=470, regioncalls=2800, ndraw=40, logz=-4849.22, remainder_fraction=100.0000%, Lmin=-3677.85, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=68, ncalls=473, regioncalls=2920, ndraw=40, logz=-2469.26, remainder_fraction=100.0000%, Lmin=-2287.96, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=71, ncalls=477, regioncalls=3080, ndraw=40, logz=-2101.56, remainder_fraction=100.0000%, Lmin=-1835.91, Lmax=-167.93
10:06:22 [ultranest] [DEBUG] iteration=75, ncalls=481, regioncalls=3240, ndraw=40, logz=-1746.73, remainder_fraction=100.0000%, Lmin=-1737.24, Lmax=-167.93
10:06:23 [ultranest] [DEBUG] iteration=79, ncalls=485, regioncalls=3400, ndraw=40, logz=-1202.95, remainder_fraction=100.0000%, Lmin=-1115.17, Lmax=-167.93
10:06:23 [ultranest] [DEBUG] iteration=80, ncalls=487, regioncalls=3480, ndraw=40, logz=-1121.36, remainder_fraction=100.0000%, Lmin=-997.58, Lmax=-167.93
10:06:23 [ultranest] [DEBUG] iteration=83, ncalls=490, regioncalls=3600, ndraw=40, logz=-920.02, remainder_fraction=100.0000%, Lmin=-877.51, Lmax=-167.93
10:06:23 [ultranest] [DEBUG] iteration=87, ncalls=494, regioncalls=3760, ndraw=40, logz=-882.07, remainder_fraction=100.0000%, Lmin=-877.17, Lmax=-167.93
10:06:23 [ultranest] [DEBUG] iteration=90, ncalls=498, regioncalls=3920, ndraw=40, logz=-881.48, remainder_fraction=100.0000%, Lmin=-877.17, Lmax=-167.93
